Percentage served,Time in ms
0,0.653
1,0.675
2,0.683
3,0.694
4,0.706
5,0.718
6,0.732
7,0.743
8,0.757
9,0.768
10,0.780
11,0.794
12,0.812
13,0.830
14,0.856
15,0.938
16,1.310
17,1.320
18,1.326
19,1.331
20,1.335
21,1.339
22,1.342
23,1.345
24,1.348
25,1.350
26,1.353
27,1.355
28,1.357
29,1.360
30,1.363
31,1.365
32,1.367
33,1.370
34,1.371
35,1.374
36,1.375
37,1.378
38,1.380
39,1.382
40,1.384
41,1.386
42,1.388
43,1.391
44,1.393
45,1.395
46,1.397
47,1.399
48,1.402
49,1.404
50,1.407
51,1.410
52,1.413
53,1.416
54,1.419
55,1.422
56,1.426
57,1.429
58,1.433
59,1.436
60,1.440
61,1.444
62,1.447
63,1.451
64,1.454
65,1.457
66,1.460
67,1.463
68,1.466
69,1.469
70,1.471
71,1.474
72,1.476
73,1.478
74,1.481
75,1.483
76,1.486
77,1.488
78,1.491
79,1.494
80,1.496
81,1.500
82,1.502
83,1.505
84,1.508
85,1.511
86,1.515
87,1.520
88,1.523
89,1.528
90,1.533
91,1.538
92,1.546
93,1.555
94,1.563
95,1.573
96,1.585
97,1.603
98,1.627
99,1.700
