Percentage served,Time in ms
0,0.645
1,8.458
2,8.606
3,8.685
4,8.740
5,8.787
6,8.827
7,8.857
8,8.880
9,8.907
10,8.925
11,8.944
12,8.965
13,8.984
14,8.999
15,9.015
16,9.030
17,9.043
18,9.055
19,9.070
20,9.083
21,9.095
22,9.106
23,9.117
24,9.129
25,9.145
26,9.160
27,9.171
28,9.185
29,9.204
30,9.220
31,9.238
32,9.257
33,9.283
34,9.308
35,9.342
36,9.377
37,9.413
38,9.447
39,9.486
40,9.523
41,9.565
42,9.610
43,9.645
44,9.688
45,9.722
46,9.755
47,9.786
48,9.808
49,9.821
50,9.841
51,9.856
52,9.871
53,9.885
54,9.903
55,9.920
56,9.934
57,9.948
58,9.966
59,9.977
60,9.988
61,10.002
62,10.023
63,10.042
64,10.052
65,10.065
66,10.079
67,10.097
68,10.112
69,10.129
70,10.151
71,10.171
72,10.196
73,10.226
74,10.254
75,10.280
76,10.307
77,10.345
78,10.382
79,10.430
80,10.467
81,10.520
82,10.577
83,10.653
84,10.725
85,10.805
86,10.906
87,11.019
88,11.135
89,11.244
90,11.387
91,11.514
92,11.639
93,11.830
94,12.036
95,12.229
96,12.401
97,12.597
98,12.994
99,13.723
